,Feature,Cluster
0,AngularSecondMoment_Actin_Short,2
1,AngularSecondMoment_Actin_Medium,2
2,AngularSecondMoment_Actin_Long,2
3,AngularSecondMoment_aSMA_Short,12
4,AngularSecondMoment_aSMA_Medium,12
5,AngularSecondMoment_aSMA_Long,12
6,Contrast_Actin_Short,7
7,Contrast_Actin_Medium,7
8,Contrast_Actin_Long,7
9,Contrast_aSMA_Short,9
10,Contrast_aSMA_Medium,9
11,Contrast_aSMA_Long,9
12,Correlation_Actin_Short,0
13,Correlation_Actin_Medium,6
14,Correlation_Actin_Long,0
15,Correlation_aSMA_Short,8
16,Correlation_aSMA_Medium,8
17,Correlation_aSMA_Long,8
18,DifferenceEntropy_Actin_Short,7
19,DifferenceEntropy_Actin_Medium,7
20,DifferenceEntropy_Actin_Long,7
21,DifferenceEntropy_aSMA_Short,9
22,DifferenceEntropy_aSMA_Medium,9
23,DifferenceEntropy_aSMA_Long,3
24,DifferenceVariance_Actin_Short,2
25,DifferenceVariance_Actin_Medium,2
26,DifferenceVariance_Actin_Long,2
27,DifferenceVariance_aSMA_Short,12
28,DifferenceVariance_aSMA_Medium,12
29,DifferenceVariance_aSMA_Long,12
30,Entropy_Actin_Short,7
31,Entropy_Actin_Medium,7
32,Entropy_Actin_Long,7
33,Entropy_aSMA_Short,9
34,Entropy_aSMA_Medium,9
35,Entropy_aSMA_Long,9
36,InfoMeas1_Actin_Short,14
37,InfoMeas1_Actin_Medium,13
38,InfoMeas1_Actin_Long,1
39,InfoMeas1_aSMA_Short,7
40,InfoMeas1_aSMA_Medium,6
41,InfoMeas1_aSMA_Long,0
42,InfoMeasShort_Actin_Short,1
43,InfoMeasShort_Actin_Medium,1
44,InfoMeasShort_Actin_Long,1
45,InfoMeasShort_aSMA_Short,2
46,InfoMeasShort_aSMA_Medium,11
47,InfoMeasShort_aSMA_Long,11
48,InverseDifferenceMoment_Actin_Short,6
49,InverseDifferenceMoment_Actin_Medium,1
50,InverseDifferenceMoment_Actin_Long,1
51,InverseDifferenceMoment_aSMA_Short,9
52,InverseDifferenceMoment_aSMA_Medium,4
53,InverseDifferenceMoment_aSMA_Long,5
54,SumAverage_Actin_Short,7
55,SumAverage_Actin_Medium,7
56,SumAverage_Actin_Long,7
57,SumAverage_aSMA_Short,3
58,SumAverage_aSMA_Medium,3
59,SumAverage_aSMA_Long,3
60,SumEntropy_Actin_Short,6
61,SumEntropy_Actin_Medium,0
62,SumEntropy_Actin_Long,5
63,SumEntropy_aSMA_Short,8
64,SumEntropy_aSMA_Medium,2
65,SumEntropy_aSMA_Long,2
66,SumVariance_Actin_Short,7
67,SumVariance_Actin_Medium,7
68,SumVariance_Actin_Long,7
69,SumVariance_aSMA_Short,9
70,SumVariance_aSMA_Medium,9
71,SumVariance_aSMA_Long,9
72,Variance_Actin_Short,7
73,Variance_Actin_Medium,7
74,Variance_Actin_Long,7
75,Variance_aSMA_Short,9
76,Variance_aSMA_Medium,9
77,Variance_aSMA_Long,9
78,Intensity_IntegratedIntensityEdge_Actin,7
79,Intensity_IntegratedIntensityEdge_Collagen,7
80,Intensity_IntegratedIntensityEdge_aSMA,7
81,Intensity_IntegratedIntensity_Actin,7
82,Intensity_IntegratedIntensity_Collagen,7
83,Intensity_IntegratedIntensity_aSMA,7
84,Intensity_LowerQuartileIntensity_Actin,7
85,Intensity_LowerQuartileIntensity_Collagen,10
86,Intensity_LowerQuartileIntensity_aSMA,9
87,Intensity_MADIntensity_Actin,7
88,Intensity_MADIntensity_Collagen,6
89,Intensity_MADIntensity_aSMA,9
90,Intensity_MassDisplacement_Actin,7
91,Intensity_MassDisplacement_Collagen,7
92,Intensity_MassDisplacement_aSMA,7
93,Intensity_MaxIntensityEdge_Actin,7
94,Intensity_MaxIntensityEdge_Collagen,6
95,Intensity_MaxIntensityEdge_aSMA,9
96,Intensity_MaxIntensity_Actin,7
97,Intensity_MaxIntensity_Collagen,6
98,Intensity_MaxIntensity_aSMA,9
99,Intensity_MeanIntensityEdge_Actin,7
100,Intensity_MeanIntensityEdge_Collagen,10
101,Intensity_MeanIntensityEdge_aSMA,9
102,Intensity_MeanIntensity_Actin,7
103,Intensity_MeanIntensity_Collagen,6
104,Intensity_MeanIntensity_aSMA,9
105,Intensity_MedianIntensity_Actin,7
106,Intensity_MedianIntensity_Collagen,6
107,Intensity_MedianIntensity_aSMA,9
108,Intensity_MinIntensityEdge_Actin,7
109,Intensity_MinIntensityEdge_Collagen,4
110,Intensity_MinIntensityEdge_aSMA,9
111,Intensity_MinIntensity_Actin,7
112,Intensity_MinIntensity_Collagen,4
113,Intensity_MinIntensity_aSMA,9
114,Intensity_StdIntensityEdge_Actin,7
115,Intensity_StdIntensityEdge_Collagen,6
116,Intensity_StdIntensityEdge_aSMA,9
117,Intensity_StdIntensity_Actin,7
118,Intensity_StdIntensity_Collagen,6
119,Intensity_StdIntensity_aSMA,9
120,Intensity_UpperQuartileIntensity_Actin,7
121,Intensity_UpperQuartileIntensity_Collagen,6
122,Intensity_UpperQuartileIntensity_aSMA,9
123,Area,7
124,Compactness,0
125,Eccentricity,6
126,Extent,2
127,FormFactor,2
128,MajorAxisLength,7
129,MaxFeretDiameter,7
130,MaximumRadius,7
131,MeanRadius,7
132,MedianRadius,7
133,MinFeretDiameter,7
134,MinorAxisLength,7
135,Perimeter,7
136,Solidity,8
